,objective_function,edges_similarity,nodes_similarity
497,75543,10,85
498,75550,12,86
499,75550,21,85
500,75551,20,88
501,75553,20,88
502,75553,20,84
503,75569,12,87
504,75569,12,85
505,75570,19,85
506,75572,31,88
507,75574,16,83
508,75588,18,83
509,75589,32,85
510,75593,33,88
511,75595,13,85
512,75595,24,85
513,75606,17,83
514,75607,12,85
515,75608,17,87
516,75609,21,87
517,75615,25,88
518,75620,31,86
519,75621,18,87
520,75626,6,84
521,75627,24,91
522,75628,32,88
523,75638,15,84
524,75641,9,88
525,75650,11,83
526,75651,27,87
527,75652,15,88
528,75654,31,85
529,75655,25,86
530,75660,12,81
531,75664,27,83
532,75664,16,84
533,75669,19,85
534,75671,10,84
535,75672,25,87
536,75685,19,83
537,75688,21,82
538,75690,7,86
539,75699,19,86
540,75708,10,89
541,75712,24,85
542,75712,15,86
543,75715,35,84
544,75715,10,86
545,75719,9,83
546,75720,12,84
547,75721,16,84
548,75722,23,87
549,75728,23,86
550,75731,10,85
551,75743,31,86
552,75751,32,84
553,75758,19,87
554,75764,21,84
555,75768,10,83
556,75786,22,88
557,75794,22,86
558,75796,11,83
559,75798,23,83
560,75801,27,86
561,75808,27,86
562,75812,13,83
563,75815,17,86
564,75825,22,83
565,75833,15,85
566,75836,15,85
567,75840,30,88
568,75844,16,84
569,75850,28,84
570,75858,19,82
571,75858,30,86
572,75860,20,88
573,75861,17,84
574,75864,16,82
575,75867,12,89
576,75872,13,90
577,75881,12,86
578,75881,31,85
579,75883,21,85
580,75883,21,80
581,75884,27,87
582,75893,18,87
583,75894,32,84
584,75899,24,88
585,75907,17,86
586,75910,16,84
587,75915,21,83
588,75933,18,85
589,75934,23,83
590,75934,10,82
591,75936,24,87
592,75937,31,83
593,75939,30,88
594,75941,14,87
595,75950,12,85
596,75952,21,85
597,75952,16,84
598,75953,22,84
599,75961,18,88
600,75963,25,86
601,75963,19,87
602,75963,26,88
603,75965,22,83
604,75967,26,87
605,75968,27,85
606,75970,20,82
607,75970,30,82
608,75979,17,83
609,75982,25,85
610,75983,6,87
611,75984,22,83
612,75991,20,87
613,75998,20,87
614,75998,27,86
615,75999,21,84
616,76011,17,85
617,76012,29,85
618,76013,12,84
619,76021,18,85
620,76023,11,89
621,76030,14,83
622,76033,24,85
623,76034,10,82
624,76038,22,86
625,76038,29,88
626,76040,21,86
627,76040,21,86
628,76041,13,86
629,76044,21,85
630,76046,24,84
631,76049,31,85
632,76050,11,83
633,76052,11,87
634,76056,25,87
635,76072,18,85
636,76074,17,84
637,76075,10,86
638,76081,20,85
639,76081,14,86
640,76085,23,85
641,76087,37,85
642,76088,14,90
643,76090,15,85
644,76092,13,82
645,76099,14,81
646,76103,12,85
647,76107,19,83
648,76108,20,84
649,76110,15,89
650,76113,17,87
651,76113,14,84
652,76119,21,86
653,76122,28,82
654,76124,28,87
655,76124,22,82
656,76125,24,85
657,76126,28,86
658,76134,18,85
659,76137,11,84
660,76138,27,83
661,76149,10,87
662,76150,22,87
663,76151,21,86
664,76159,31,87
665,76162,20,85
666,76162,19,84
667,76167,10,87
668,76169,17,86
669,76171,28,86
670,76177,17,88
671,76179,32,86
672,76183,23,86
673,76183,10,84
674,76186,20,85
675,76195,9,87
676,76195,30,85
677,76201,30,80
678,76210,13,84
679,76213,31,84
680,76217,12,82
681,76218,17,84
682,76225,22,82
683,76252,18,86
684,76256,10,82
685,76257,4,84
686,76264,16,83
687,76266,15,89
688,76274,21,86
689,76276,14,86
690,76277,14,82
691,76281,22,87
692,76282,28,85
693,76287,19,88
694,76289,20,87
695,76295,24,91
696,76298,15,86
697,76302,9,85
698,76309,15,83
699,76311,33,82
700,76314,22,85
701,76320,31,89
702,76320,12,88
703,76321,14,86
704,76323,22,83
705,76325,20,87
706,76330,19,82
707,76333,19,85
708,76339,16,82
709,76340,25,84
710,76344,28,86
711,76351,11,88
712,76360,36,86
713,76371,26,88
714,76373,9,82
715,76377,20,88
716,76384,11,84
717,76385,10,83
718,76386,12,83
719,76390,23,88
720,76404,22,86
721,76405,7,84
722,76410,25,83
723,76414,10,88
724,76416,11,86
725,76424,13,82
726,76426,15,85
727,76427,19,85
728,76435,16,86
729,76452,29,87
730,76463,16,85
731,76471,9,86
732,76475,17,85
733,76486,12,84
734,76486,21,80
735,76488,18,85
736,76494,32,86
737,76496,17,87
738,76509,11,81
739,76512,14,83
740,76513,9,86
741,76519,9,82
742,76521,13,83
743,76539,14,82
744,76541,15,87
745,76541,23,82
746,76552,15,85
747,76565,18,87
748,76576,34,83
749,76577,16,83
750,76577,18,83
751,76578,11,86
752,76583,10,84
753,76584,14,83
754,76589,22,85
755,76590,17,84
756,76598,13,85
757,76603,12,84
758,76613,23,82
759,76618,11,87
760,76622,13,85
761,76631,29,85
762,76634,23,85
763,76637,23,86
764,76639,10,87
765,76641,19,85
766,76651,32,85
767,76667,10,84
768,76673,21,87
769,76677,21,86
770,76707,13,90
771,76713,14,84
772,76715,28,86
773,76717,23,84
774,76725,16,83
775,76737,10,88
