,objective_function,edges_similarity,nodes_similarity
985,79262,18,80
986,79331,13,87
987,79369,20,81
988,79413,18,82
989,79477,4,77
990,79486,16,84
991,79532,25,82
992,79613,29,76
993,79830,8,78
994,79862,11,79
995,79956,5,77
996,80268,25,78
997,80356,12,78
998,80359,11,77
