,objective_function,edges_similarity,nodes_similarity
868,51522,36,81
869,51536,41,79
870,51539,43,82
871,51541,33,79
872,51545,37,76
873,51552,32,79
874,51553,38,84
875,51565,36,81
876,51571,42,79
877,51588,37,81
878,51594,41,80
879,51595,36,78
880,51597,41,82
881,51599,44,81
882,51606,28,78
883,51627,37,82
884,51635,39,79
885,51643,44,84
886,51645,36,78
887,51659,32,77
888,51665,32,78
889,51666,46,81
890,51692,37,82
891,51698,34,83
892,51708,32,79
893,51721,37,80
894,51721,37,84
895,51725,41,82
896,51729,34,83
897,51734,33,82
898,51736,38,79
899,51744,32,80
900,51766,40,79
901,51770,43,81
902,51782,34,80
903,51786,41,84
904,51790,29,77
905,51824,39,77
906,51837,31,80
907,51839,40,78
908,51844,35,75
909,51845,30,80
910,51850,36,81
911,51861,41,79
912,51865,38,83
913,51889,40,81
914,51893,46,80
915,51909,42,85
916,51912,39,86
917,51952,33,79
918,51956,35,81
919,51958,42,80
920,51969,34,80
921,51979,42,82
922,51994,36,78
923,52000,38,80
924,52001,31,75
925,52012,36,80
926,52015,36,81
927,52027,37,82
928,52031,40,83
929,52033,37,83
930,52045,30,77
931,52070,42,85
932,52071,39,83
933,52075,37,81
934,52103,35,80
935,52128,34,79
936,52137,36,81
937,52174,38,81
938,52176,39,80
939,52189,36,82
940,52215,32,78
941,52225,35,81
942,52292,38,80
943,52301,53,86
944,52328,36,85
945,52329,39,81
946,52333,32,81
947,52353,35,78
948,52392,33,77
949,52412,39,84
950,52431,36,80
951,52458,33,79
952,52459,43,83
953,52483,36,79
954,52510,34,79
955,52537,41,79
956,52537,35,83
957,52578,38,81
958,52581,40,84
959,52603,41,80
960,52617,32,78
961,52640,36,79
962,52656,39,79
963,52670,31,76
964,52670,39,79
965,52707,31,79
966,52736,38,82
967,52738,35,80
968,52742,30,75
969,52772,35,82
970,52800,30,79
971,52806,39,82
972,52829,27,77
973,52830,37,82
974,52883,35,78
975,52920,37,77
976,52938,40,82
977,52962,36,82
978,52968,32,77
979,53112,34,82
980,53199,32,76
981,53293,36,82
982,53360,38,81
983,53385,28,80
984,53404,35,77
985,53435,44,81
986,53552,38,75
987,53561,32,78
988,53580,40,82
989,53595,38,82
990,53677,32,78
991,53733,34,84
992,54024,36,77
993,54044,39,84
994,54265,35,78
995,54377,34,77
996,54400,39,82
997,54404,28,81
998,56372,33,76
