,objective_function,edges_similarity,nodes_similarity
533,50116,20,76
534,50126,21,80
535,50129,9,78
536,50136,22,77
537,50138,7,87
538,50140,16,77
539,50141,14,83
540,50148,8,75
541,50148,11,78
542,50157,10,79
543,50157,20,76
544,50160,17,83
545,50173,20,75
546,50174,15,83
547,50179,11,78
548,50183,12,79
549,50193,18,75
550,50194,12,81
551,50194,8,82
552,50195,19,80
553,50195,8,80
554,50198,12,83
555,50200,11,78
556,50202,8,79
557,50203,19,76
558,50209,15,80
559,50209,15,73
560,50210,22,81
561,50210,12,79
562,50212,14,78
563,50217,22,81
564,50222,21,76
565,50230,17,78
566,50230,10,81
567,50231,22,80
568,50245,8,75
569,50246,9,83
570,50247,8,83
571,50249,8,75
572,50252,26,79
573,50253,17,79
574,50258,11,79
575,50261,21,77
576,50263,14,77
577,50263,11,79
578,50265,10,79
579,50267,24,81
580,50267,21,80
581,50271,20,81
582,50272,19,80
583,50274,27,80
584,50276,13,77
585,50277,13,78
586,50277,17,75
587,50277,10,74
588,50281,17,80
589,50282,14,76
590,50288,13,78
591,50289,18,86
592,50290,24,80
593,50293,10,73
594,50299,17,78
595,50302,9,81
596,50314,23,81
597,50317,5,75
598,50325,12,79
599,50328,21,78
600,50331,21,77
601,50335,23,83
602,50340,20,75
603,50340,8,77
604,50341,13,81
605,50342,6,77
606,50343,18,76
607,50344,12,79
608,50348,10,78
609,50349,6,79
610,50349,18,75
611,50359,13,80
612,50363,11,74
613,50369,10,77
614,50373,7,77
615,50376,21,78
616,50376,18,74
617,50380,18,78
618,50380,13,81
619,50388,22,79
620,50390,13,81
621,50391,24,82
622,50391,7,79
623,50393,9,83
624,50393,17,78
625,50398,10,73
626,50398,12,77
627,50404,19,80
628,50408,10,73
629,50408,17,77
630,50415,15,78
631,50431,16,80
632,50435,27,84
633,50437,24,78
634,50439,22,77
635,50440,19,77
636,50447,20,76
637,50448,5,74
638,50449,19,77
639,50450,8,73
640,50456,16,77
641,50459,27,80
642,50461,14,79
643,50462,5,82
644,50464,23,78
645,50464,16,78
646,50464,18,81
647,50466,17,76
648,50470,26,83
649,50473,14,81
650,50478,20,77
651,50478,29,78
652,50478,18,81
653,50478,23,80
654,50479,18,80
655,50479,24,81
656,50481,7,78
657,50494,20,82
658,50496,12,75
659,50497,14,82
660,50498,23,77
661,50506,11,77
662,50512,15,74
663,50512,21,79
664,50515,10,79
665,50515,20,76
666,50519,31,79
667,50533,17,80
668,50537,26,79
669,50538,20,74
670,50542,11,78
671,50543,10,78
672,50543,13,77
673,50545,11,80
674,50557,22,78
675,50559,4,80
676,50566,21,80
677,50575,13,79
678,50580,13,77
679,50582,13,79
680,50583,11,83
681,50584,8,77
682,50586,22,77
683,50588,8,79
684,50595,10,76
685,50596,12,78
686,50602,16,83
687,50604,16,79
688,50608,20,77
689,50613,14,76
690,50618,19,77
691,50620,11,74
692,50621,8,81
693,50624,13,73
694,50628,18,79
695,50630,16,78
696,50631,27,77
697,50632,14,76
698,50635,15,76
699,50637,7,76
700,50638,16,76
701,50641,15,77
702,50644,25,77
703,50644,23,76
704,50649,17,82
705,50655,16,76
706,50659,13,77
707,50664,27,81
708,50666,18,79
709,50669,9,78
710,50669,14,73
711,50670,7,77
712,50673,10,76
713,50682,8,81
714,50699,18,83
715,50700,23,82
716,50703,8,80
717,50705,21,83
718,50712,16,76
719,50712,17,72
720,50713,25,79
721,50715,9,77
722,50717,17,79
723,50718,21,77
724,50724,14,82
725,50729,19,79
726,50735,22,75
727,50740,12,77
728,50747,9,77
729,50749,13,81
730,50760,12,74
731,50774,16,78
732,50778,9,78
733,50779,13,80
734,50782,10,78
735,50783,9,79
736,50792,12,76
737,50799,11,77
738,50800,13,79
739,50804,8,75
740,50804,15,72
741,50809,11,79
742,50811,20,80
743,50838,11,77
744,50841,7,79
745,50842,27,80
746,50843,13,79
747,50854,13,78
748,50856,14,79
749,50857,25,79
750,50857,15,78
751,50859,21,77
752,50860,12,78
753,50862,13,78
754,50863,14,73
755,50863,8,76
756,50865,9,77
757,50867,20,77
758,50870,16,80
759,50873,24,85
760,50873,22,80
761,50873,11,74
762,50877,19,78
763,50886,9,75
764,50905,16,79
765,50908,9,75
766,50911,11,84
767,50919,28,77
768,50919,20,80
769,50919,22,78
770,50925,17,82
771,50933,12,78
772,50934,10,79
773,50935,7,75
774,50939,19,80
775,50948,14,82
776,50953,10,77
777,50954,18,73
778,50956,15,74
779,50961,19,81
780,50967,24,83
781,50974,18,80
782,50991,6,76
783,51006,31,79
784,51006,13,75
785,51008,8,80
786,51012,12,76
787,51013,19,75
788,51018,15,77
789,51022,26,78
790,51024,30,81
791,51024,17,77
792,51034,21,77
793,51041,12,77
794,51052,18,76
795,51055,14,81
796,51056,5,73
797,51068,11,76
798,51073,25,82
799,51080,23,78
800,51083,11,79
801,51088,19,79
802,51096,22,76
803,51101,24,78
804,51111,21,77
805,51112,5,76
806,51117,11,81
807,51117,25,78
808,51122,13,76
809,51132,9,75
810,51139,24,78
811,51142,32,79
812,51144,13,80
813,51150,11,78
814,51153,19,76
815,51154,19,80
816,51155,16,74
817,51161,12,82
818,51164,11,80
819,51174,13,76
820,51178,10,76
821,51187,21,80
822,51189,17,78
823,51218,13,76
824,51220,7,79
825,51221,19,74
826,51222,11,75
827,51222,16,79
828,51238,12,78
829,51242,10,81
830,51242,20,78
831,51249,15,77
832,51257,22,78
833,51261,23,77
834,51264,29,80
835,51277,13,77
836,51291,12,78
837,51298,26,78
838,51300,16,79
839,51326,16,77
840,51328,10,80
841,51329,9,72
842,51339,17,79
843,51342,11,79
844,51355,8,76
845,51358,11,73
846,51360,10,76
847,51369,7,76
848,51370,2,77
849,51383,21,73
850,51387,16,82
851,51389,19,78
852,51394,5,76
853,51397,13,77
854,51403,21,76
855,51413,23,84
856,51431,15,79
857,51432,12,79
858,51433,17,77
859,51450,10,82
860,51462,12,78
861,51475,24,79
862,51483,17,75
863,51487,8,82
864,51501,7,74
865,51508,13,74
866,51511,15,79
867,51517,18,79
868,51522,13,77
869,51536,14,78
870,51539,23,79
871,51541,25,83
872,51545,8,78
873,51552,18,75
874,51553,17,80
875,51565,18,79
876,51571,9,78
877,51588,20,73
878,51594,7,78
879,51595,15,79
880,51597,19,80
881,51599,7,78
882,51606,10,71
883,51627,13,77
884,51635,19,76
885,51643,13,75
886,51645,11,73
887,51659,16,72
888,51665,13,76
889,51666,26,80
890,51692,28,79
891,51698,12,79
892,51708,10,78
893,51721,6,77
894,51721,14,74
895,51725,13,78
896,51729,11,77
897,51734,21,77
898,51736,19,79
899,51744,12,78
900,51766,26,78
901,51770,15,73
902,51782,10,80
903,51786,11,76
904,51790,17,72
905,51824,14,73
906,51837,18,76
907,51839,26,80
908,51844,20,72
909,51845,13,80
910,51850,27,78
